iter	Passed	Remaining
307	12504	7795
308	12551	7758
309	12603	7724
310	12652	7689
311	12697	7651
312	12737	7609
313	12780	7570
314	12821	7530
315	12868	7493
316	12917	7457
317	12971	7423
318	13016	7385
319	13068	7351
320	13114	7312
321	13164	7277
322	13214	7241
323	13254	7199
324	13288	7155
325	13325	7112
326	13360	7068
327	13398	7026
328	13442	6986
329	13477	6942
330	13519	6902
331	13561	6862
332	13606	6823
333	13645	6781
334	13681	6738
335	13713	6693
336	13755	6653
337	13796	6612
338	13835	6570
339	13877	6530
340	13921	6491
341	13962	6450
342	14004	6410
343	14046	6369
344	14099	6334
345	14138	6293
346	14180	6252
347	14217	6210
348	14256	6168
349	14297	6127
350	14339	6087
351	14380	6046
352	14422	6006
353	14462	5964
354	14509	5926
355	14562	5890
356	14600	5848
357	14636	5805
358	14676	5764
359	14726	5726
360	14769	5687
361	14816	5648
362	14863	5609
363	14914	5572
364	14966	5535
365	15013	5496
366	15059	5457
367	15105	5418
368	15145	5376
369	15190	5337
370	15235	5297
371	15277	5256
372	15320	5216
373	15366	5176
374	15404	5134
375	15444	5093
376	15489	5053
377	15525	5010
378	15573	4971
379	15614	4930
380	15703	4904
381	15755	4866
382	15798	4826
383	15842	4785
384	15884	4744
385	15930	4704
386	15980	4666
387	16024	4625
388	16063	4583
389	16100	4541
390	16142	4500
391	16193	4461
392	16247	4423
393	16291	4383
394	16336	4342
395	16385	4303
396	16435	4264
397	16476	4222
398	16516	4180
399	16553	4138
400	16596	4097
401	16633	4054
402	16679	4014
403	16724	3974
404	16761	3931
405	16803	3890
406	16845	3849
407	16882	3806
408	16923	3765
409	16965	3724
410	17007	3682
411	17044	3640
412	17088	3599
413	17139	3560
414	17181	3519
415	17220	3477
416	17261	3435
417	17297	3393
418	17336	3351
419	17374	3309
420	17413	3267
421	17461	3227
422	17504	3186
423	17547	3145
424	17590	3104
425	17636	3063
426	17684	3023
427	17733	2983
428	17771	2941
429	17814	2900
430	17860	2859
431	17897	2817
432	17935	2775
433	17972	2733
434	18021	2692
435	18063	2651
436	18100	2609
437	18139	2567
438	18180	2526
439	18220	2484
440	18258	2442
441	18292	2400
442	18330	2358
443	18374	2317
444	18416	2276
445	18453	2234
446	18504	2194
447	18542	2152
448	18577	2110
449	18614	2068
450	18657	2027
451	18702	1986
452	18740	1944
453	18784	1903
454	18824	1861
455	18870	1820
456	18916	1779
457	18967	1739
458	19008	1697
459	19045	1656
460	19081	1614
461	19120	1572
462	19166	1531
463	19209	1490
464	19251	1449
465	19290	1407
466	19321	1365
467	19358	1323
468	19403	1282
469	19444	1241
470	19490	1200
471	19529	1158
472	19570	1117
473	19608	1075
474	19650	1034
475	19692	992
476	19734	951
477	19788	910
478	19840	869
479	19885	828
480	19928	787
481	19968	745
482	20014	704
483	20061	663
484	20104	621
485	20146	580
486	20185	538
487	20221	497
488	20263	455
489	20306	414
490	20350	373
491	20389	331
492	20431	290
493	20473	248
494	20511	207
495	20548	165
496	20597	124
497	20646	82
498	20694	41
499	20746	0
